id;starttime;endtime;description;type;subtype;street;polyline;direction
20210915T124732_1903_3088;2021-09-15T12:47:32+01:00;2030-09-15T17:00:00+01:00;interdit au véhicules,sauf (le bus,taxi,vélo) date de fin indefini;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8975411909957671 2.3288634774530479 48.8955469463484036 2.3282217615104108;ONE_DIRECTION
20240916T080006_5238_1294;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_Pte_Ternes;48.8810269823107930 2.2841157518687116 48.8815694521481063 2.2817670429748493;ONE_DIRECTION
20241003T082352_21_1784;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8562970658354629 2.3565654101056279 48.8565347605150322 2.3555369116067708;ONE_DIRECTION
20241003T082352_35_1063;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8621582136371160 2.3369915823366560 48.8626781571862310 2.3353335923384280;ONE_DIRECTION
20240916T084539_6166_972;2024-09-16T08:45:39+01:00;2025-01-30T18:00:00+01:00;CPCU - Quai Saint-Bernard. Création ou dévoiement de réseau.;CONSTRUCTION;;Quai_St_Bernard;48.8479506961460430 2.3593958749422406 48.8492315405338289 2.3574935691353400 48.8493619135379475 2.3570252364547342 48.8494325459590755 2.3566566014661383;ONE_DIRECTION
20241003T082352_27_568;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8585227178299064 2.3482103524655238 48.8587993480476968 2.3474346083817021;ONE_DIRECTION
20240617T083355_4836_3629;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Av_Daumesnil;48.8402179827036775 2.3927256866092756 48.8396978065303102 2.3950305840152049;ONE_DIRECTION
20201110T102206_1413_281;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8697469152808850 2.4025674826905021 48.8683707172224899 2.4013944321609242;ONE_DIRECTION
20201110T102206_1413_3649;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8683707172224899 2.4013944321609242 48.8683112793836543 2.4013475520610199;ONE_DIRECTION
20241003T082352_31_2520;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8600921719548964 2.3433932841591374 48.8604448421113489 2.3423106121012647;ONE_DIRECTION
20241122T175556_34_290;2024-11-22T17:55:56+01:00;2024-12-02T18:00:00+01:00;Rivoli/Marengo : emprise en file de droite;CONSTRUCTION;;Rivoli;48.8614986341360549 2.3390796944274990 48.8621582136371160 2.3369915823366560;ONE_DIRECTION
20241105T184835_1796_2347;2024-11-05T18:48:35+01:00;2024-12-06T06:00:00+01:00;Bretelle_9_accès_Pte_Chapelle Fermeture Travaux;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Chapelle_bretelle_7;48.9006248140014748 2.3588400995363927 48.9002742042019491 2.3588815478478020 48.8999362636615515 2.3590032784841068 48.8996673995826470 2.3590746418609396 48.8993493240720198 2.3590971225902484 48.8989694670443527 2.3590089897906226;ONE_DIRECTION
20210915T124732_1899_655;2021-09-15T12:47:32+01:00;2030-09-15T17:00:00+01:00;interdit au véhicules,sauf (le bus,taxi,vélo) date de fin indefini;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8940431642816122 2.3277028547496852 48.8930204235421755 2.3273499661421608;ONE_DIRECTION
20240916T080006_4301_2188;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8801739392304313 2.2879804156937067 48.8807638655990218 2.2853836742721305;ONE_DIRECTION
20201110T102206_1352_1223;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8683112793836543 2.4013475520610199 48.8665126433280861 2.3998165913775256;ONE_DIRECTION
20210915T124732_1901_117;2021-09-15T12:47:32+01:00;2030-09-15T17:00:00+01:00;interdit au véhicules,sauf (le bus,taxi,vélo) date de fin indefini;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8955469463484036 2.3282217615104108 48.8940431642816122 2.3277028547496852;ONE_DIRECTION
20240916T080006_4334_2262;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8778840826872596 2.2977527756121812 48.8783727885170975 2.2957052990285067;ONE_DIRECTION
20240916T080006_4336_1521;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8783727885170975 2.2957052990285067 48.8787018143975089 2.2943267232707334;ONE_DIRECTION
20241003T082352_22_3630;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8565347605150322 2.3555369116067708 48.8569525611540811 2.3537289556893217;ONE_DIRECTION
20240916T084539_488_3518;2024-09-16T08:45:39+01:00;2025-01-30T18:00:00+01:00;CPCU - Quai Saint-Bernard. Création ou dévoiement de réseau.;CONSTRUCTION;;Quai_St_Bernard;48.8493599352189136 2.3564481808338473 48.8492714884376653 2.3569776751349272 48.8491545207023918 2.3573782228825548 48.8478818883064037 2.3592786835098312;ONE_DIRECTION
20240826T174434_4878_522;2024-08-26T17:44:34+01:00;2025-08-29T18:00:00+01:00;Fayolle - Place Félix Eboué. Aménagement de voirie.;CONSTRUCTION;;Pl_Felix_Eboue;48.8396571812658564 2.3964386495761274 48.8397524244466581 2.3963122798262861 48.8399246740862552 2.3954315882157875;ONE_DIRECTION
20241003T082352_28_3175;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8587993480476968 2.3474346083817021 48.8591196110789880 2.3464186665443791;ONE_DIRECTION
20241003T082352_30_3686;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8596349548353999 2.3448214172967252 48.8599242487681593 2.3439087680977191;ONE_DIRECTION
20241003T082352_283_1246;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8627347716274372 2.3351458671496284 48.8631970496358079 2.3337122499579190;ONE_DIRECTION
20240617T083355_4867_1770;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8391937649649037 2.3921823994630618 48.8393580669782423 2.3942918696975473;ONE_DIRECTION
20240617T083355_4867_1815;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8393702767821551 2.3944581541181145 48.8394519400436096 2.3951712523075654;ONE_DIRECTION
20221128T080907_649_2618;2022-11-28T08:09:07+01:00;2024-12-30T18:00:00+01:00;Av_Denf_Rocher-Av_Observatoire : cration d'une nouvelle sortie. Circulation restreinte. eutralisation Piste cyclable.;CONSTRUCTION;;Av_Denf_Rocher-Av_Observatoire;48.8376053398656040 2.3356892474795399 48.8386536139141683 2.3366888518798277 48.8395966359834546 2.3367375223044058;ONE_DIRECTION
20241003T082352_32_357;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8604448421113489 2.3423106121012647 48.8609140900497323 2.3408548304014047;ONE_DIRECTION
20241003T082352_176_122;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8591196110789880 2.3464186665443791 48.8593667042748976 2.3456528431755985;ONE_DIRECTION
